onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
12.1336	10	speech	1	121336	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_389_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_182_peaky_diotic_regress.hdf5
22.2032	10	speech	1	222032	3	-3 dB	1	2	n/a	speech/alice/alice_174_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_394_peaky_diotic_regress.hdf5	n/a	n/a	speech/wizardofoz/wizardofoz_231_peaky_diotic_regress.hdf5
32.2941	10	speech	1	322941	5	-6 dB	1	2	n/a	speech/alice/alice_244_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_248_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_071_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_284_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_081_peaky_diotic_regress.hdf5
42.3637	10	speech	1	423637	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_366_peaky_diotic_regress.hdf5	n/a
52.4546	10	speech	1	524546	3	-3 dB	1	2	n/a	speech/alice/alice_046_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_164_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_224_peaky_diotic_regress.hdf5
62.5242	10	speech	1	625242	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_248_peaky_diotic_regress.hdf5
72.6151	10	speech	1	726151	2	0 dB	1	2	n/a	speech/alice/alice_284_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_234_peaky_diotic_regress.hdf5	n/a	n/a
82.706	10	speech	1	827060	5	-6 dB	1	2	n/a	speech/alice/alice_088_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_346_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_371_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_364_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_008_peaky_diotic_regress.hdf5
92.7969	10	speech	1	927969	2	0 dB	1	2	n/a	speech/alice/alice_054_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_166_peaky_diotic_regress.hdf5	n/a	n/a
102.9732	10	speech	1	1029732	5	-6 dB	1	2	n/a	speech/alice/alice_222_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_018_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_041_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_308_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_100_peaky_diotic_regress.hdf5
113.1068	10	speech	1	1131068	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_002_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_040_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_082_peaky_diotic_regress.hdf5
123.1764	10	speech	1	1231764	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_209_peaky_diotic_regress.hdf5	n/a	n/a
133.2673	10	speech	1	1332673	5	-6 dB	1	2	n/a	speech/alice/alice_315_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_173_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_313_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_201_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_317_peaky_diotic_regress.hdf5
143.3369	10	speech	1	1433369	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_268_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_359_peaky_diotic_regress.hdf5	n/a
153.4278	10	speech	1	1534278	3	-3 dB	1	2	n/a	speech/alice/alice_188_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_097_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_274_peaky_diotic_regress.hdf5	n/a	n/a
163.4974	10	speech	1	1634974	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_330_peaky_diotic_regress.hdf5	n/a	n/a
173.5883	10	speech	1	1735883	5	-6 dB	1	2	n/a	speech/alice/alice_348_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_332_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_074_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_076_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_379_peaky_diotic_regress.hdf5
183.6792	10	speech	1	1836792	2	0 dB	1	2	n/a	speech/alice/alice_368_peaky_diotic_regress.hdf5	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_306_peaky_diotic_regress.hdf5
193.7488	10	speech	1	1937488	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_370_peaky_diotic_regress.hdf5	n/a	n/a
203.8397	10	speech	1	2038397	3	-3 dB	1	2	n/a	speech/alice/alice_108_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_066_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_057_peaky_diotic_regress.hdf5	n/a
213.9093	10	speech	1	2139093	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_323_peaky_diotic_regress.hdf5
223.9789	10	speech	1	2239789	5	-6 dB	1	2	n/a	speech/alice/alice_253_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_040_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_113_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_257_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_128_peaky_diotic_regress.hdf5
234.0698	10	speech	1	2340698	3	-3 dB	1	2	n/a	speech/alice/alice_056_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_066_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_215_peaky_diotic_regress.hdf5	n/a
244.1394	10	speech	1	2441394	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_106_peaky_diotic_regress.hdf5	n/a	n/a	speech/wizardofoz/wizardofoz_259_peaky_diotic_regress.hdf5
254.209	10	speech	1	2542090	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_315_peaky_diotic_regress.hdf5
264.2999	10	speech	1	2642999	2	0 dB	1	2	n/a	speech/alice/alice_240_peaky_diotic_regress.hdf5	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_245_peaky_diotic_regress.hdf5
274.3695	10	speech	1	2743695	3	-3 dB	1	2	n/a	speech/alice/alice_357_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_203_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_101_peaky_diotic_regress.hdf5	n/a
284.4391	10	speech	1	2844391	5	-6 dB	1	2	n/a	speech/alice/alice_064_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_191_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_223_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_077_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_130_peaky_diotic_regress.hdf5
294.5087	10	speech	1	2945087	1	clean	1	2	n/a	speech/alice/alice_145_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
304.6636	10	speech	1	3046636	5	-6 dB	1	2	n/a	speech/alice/alice_106_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_201_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_334_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_111_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_347_peaky_diotic_regress.hdf5
314.7545	10	speech	1	3147545	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_001_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_350_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_208_peaky_diotic_regress.hdf5	n/a
324.8241	10	speech	1	3248241	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_326_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_136_peaky_diotic_regress.hdf5	n/a	n/a
334.915	10	speech	1	3349150	5	-6 dB	1	2	n/a	speech/alice/alice_361_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_000_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_019_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_049_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_331_peaky_diotic_regress.hdf5
345.0059	10	speech	1	3450059	1	clean	1	2	n/a	speech/alice/alice_069_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
355.0755	10	speech	1	3550755	2	0 dB	1	2	n/a	speech/alice/alice_389_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_305_peaky_diotic_regress.hdf5	n/a	n/a	n/a
365.1664	10	speech	1	3651664	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_261_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_251_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_391_peaky_diotic_regress.hdf5
375.2574	10	speech	1	3752574	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_167_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_366_peaky_diotic_regress.hdf5	n/a	n/a
385.4123	10	speech	1	3854123	5	-6 dB	1	2	n/a	speech/alice/alice_280_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_082_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_335_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_130_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_080_peaky_diotic_regress.hdf5
395.4819	10	speech	1	3954819	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_303_peaky_diotic_regress.hdf5	n/a	n/a
405.5515	10	speech	1	4055515	3	-3 dB	1	2	n/a	speech/alice/alice_011_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_198_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_313_peaky_diotic_regress.hdf5	n/a
415.6424	10	speech	1	4156424	5	-6 dB	1	2	n/a	speech/alice/alice_338_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_139_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_306_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_098_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_141_peaky_diotic_regress.hdf5
425.712	10	speech	1	4257120	1	clean	1	2	n/a	speech/alice/alice_394_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
435.7815	10	speech	1	4357815	2	0 dB	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_379_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_108_peaky_diotic_regress.hdf5
445.8725	10	speech	1	4458725	3	-3 dB	1	2	n/a	speech/alice/alice_278_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_242_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_348_peaky_diotic_regress.hdf5	n/a	n/a
455.9421	10	speech	1	4559421	3	-3 dB	1	2	n/a	speech/alice/alice_353_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_212_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_287_peaky_diotic_regress.hdf5	n/a
466.033	10	speech	1	4660330	1	clean	1	2	n/a	speech/alice/alice_096_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
476.1026	10	speech	1	4761026	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_157_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_165_peaky_diotic_regress.hdf5	n/a
486.1935	10	speech	1	4861935	5	-6 dB	1	2	n/a	speech/alice/alice_123_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_128_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_128_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_218_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_016_peaky_diotic_regress.hdf5
496.2844	10	speech	1	4962844	5	-6 dB	1	2	n/a	speech/alice/alice_066_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_381_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_010_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_055_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_281_peaky_diotic_regress.hdf5
506.354	10	speech	1	5063540	2	0 dB	1	2	n/a	speech/alice/alice_118_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_014_peaky_diotic_regress.hdf5	n/a
516.4449	10	speech	1	5164449	3	-3 dB	1	2	n/a	speech/alice/alice_044_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_334_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_162_peaky_diotic_regress.hdf5	n/a	n/a
526.5145	10	speech	1	5265145	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_251_peaky_diotic_regress.hdf5	n/a
536.6054	10	speech	1	5366054	5	-6 dB	1	2	n/a	speech/alice/alice_212_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_132_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_329_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_209_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_125_peaky_diotic_regress.hdf5
546.675	10	speech	1	5466750	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_271_peaky_diotic_regress.hdf5	n/a	n/a
556.7446	10	speech	1	5567446	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_241_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_061_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_262_peaky_diotic_regress.hdf5	n/a
566.8355	10	speech	1	5668355	2	0 dB	1	2	n/a	speech/alice/alice_053_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_185_peaky_diotic_regress.hdf5	n/a	n/a
576.9264	10	speech	1	5769264	5	-6 dB	1	2	n/a	speech/alice/alice_387_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_088_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_154_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_205_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_346_peaky_diotic_regress.hdf5
586.996	10	speech	1	5869960	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_091_peaky_diotic_regress.hdf5
597.0656	10	speech	1	5970656	3	-3 dB	1	2	n/a	speech/alice/alice_025_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_126_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_221_peaky_diotic_regress.hdf5	n/a	n/a
607.1352	10	speech	1	6071352	2	0 dB	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_393_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_215_peaky_diotic_regress.hdf5
617.2261	10	speech	1	6172261	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_104_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_031_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_042_peaky_diotic_regress.hdf5	n/a
627.2957	10	speech	1	6272957	5	-6 dB	1	2	n/a	speech/alice/alice_202_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_011_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_120_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_380_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_293_peaky_diotic_regress.hdf5
637.3653	10	speech	1	6373653	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_032_peaky_diotic_regress.hdf5	n/a	n/a
647.4562	10	speech	1	6474562	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_184_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_164_peaky_diotic_regress.hdf5	n/a
657.5258	10	speech	1	6575258	2	0 dB	1	2	n/a	speech/alice/alice_274_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_235_peaky_diotic_regress.hdf5	n/a
667.5954	10	speech	1	6675954	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_057_peaky_diotic_regress.hdf5	n/a	n/a
677.6863	10	speech	1	6776863	5	-6 dB	1	2	n/a	speech/alice/alice_146_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_276_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_373_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_010_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_279_peaky_diotic_regress.hdf5
687.7559	10	speech	1	6877559	3	-3 dB	1	2	n/a	speech/alice/alice_301_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_071_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_064_peaky_diotic_regress.hdf5	n/a
697.8468	10	speech	1	6978468	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_209_peaky_diotic_regress.hdf5	n/a	n/a	speech/wizardofoz/wizardofoz_311_peaky_diotic_regress.hdf5
707.9804	10	speech	1	7079804	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_048_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_051_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_100_peaky_diotic_regress.hdf5	n/a
718.0713	10	speech	1	7180713	5	-6 dB	1	2	n/a	speech/alice/alice_057_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_112_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_379_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_335_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_054_peaky_diotic_regress.hdf5
728.1622	10	speech	1	7281622	1	clean	1	2	n/a	n/a	speech/peterpan/peterpan_058_peaky_diotic_regress.hdf5	n/a	n/a	n/a
738.2318	10	speech	1	7382318	2	0 dB	1	2	n/a	speech/alice/alice_363_peaky_diotic_regress.hdf5	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_136_peaky_diotic_regress.hdf5
748.3227	10	speech	1	7483227	5	-6 dB	1	2	n/a	speech/alice/alice_170_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_198_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_386_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_292_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_307_peaky_diotic_regress.hdf5
758.4136	10	speech	1	7584136	3	-3 dB	1	2	n/a	speech/alice/alice_060_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_177_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_218_peaky_diotic_regress.hdf5
768.4832	10	speech	1	7684832	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_137_peaky_diotic_regress.hdf5
778.5741	10	speech	1	7785741	5	-6 dB	1	2	n/a	speech/alice/alice_201_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_143_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_023_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_191_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_392_peaky_diotic_regress.hdf5
788.6437	10	speech	1	7886437	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_227_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_135_peaky_diotic_regress.hdf5	n/a	n/a
798.7347	10	speech	1	7987347	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_291_peaky_diotic_regress.hdf5	n/a	n/a
808.8042	10	speech	1	8088042	3	-3 dB	1	2	n/a	speech/alice/alice_136_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_288_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_023_peaky_diotic_regress.hdf5	n/a
818.8952	10	speech	1	8188952	3	-3 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_205_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_145_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_104_peaky_diotic_regress.hdf5
828.9861	10	speech	1	8289861	5	-6 dB	1	2	n/a	speech/alice/alice_027_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_316_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_230_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_394_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_031_peaky_diotic_regress.hdf5
839.0557	10	speech	1	8390557	2	0 dB	1	2	n/a	speech/alice/alice_330_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_183_peaky_diotic_regress.hdf5	n/a	n/a
849.1252	10	speech	1	8491252	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_114_peaky_diotic_regress.hdf5
859.2162	10	speech	1	8592162	3	-3 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_001_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_181_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_325_peaky_diotic_regress.hdf5
869.2858	10	speech	1	8692858	5	-6 dB	1	2	n/a	speech/alice/alice_012_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_165_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_381_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_204_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_068_peaky_diotic_regress.hdf5
879.3767	10	speech	1	8793767	2	0 dB	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_065_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_374_peaky_diotic_regress.hdf5
889.4463	10	speech	1	8894463	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_065_peaky_diotic_regress.hdf5
899.5372	10	speech	1	8995372	5	-6 dB	1	2	n/a	speech/alice/alice_022_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_161_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_169_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_326_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_029_peaky_diotic_regress.hdf5
909.6068	10	speech	1	9096068	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_194_peaky_diotic_regress.hdf5
919.6763	10	speech	1	9196763	2	0 dB	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_363_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_316_peaky_diotic_regress.hdf5	n/a
929.7673	10	speech	1	9297673	3	-3 dB	1	2	n/a	speech/alice/alice_208_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_331_peaky_diotic_regress.hdf5	n/a	speech/wizardofoz/wizardofoz_170_peaky_diotic_regress.hdf5
939.8369	10	speech	1	9398369	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_123_peaky_diotic_regress.hdf5	n/a	n/a
949.9278	10	speech	1	9499278	5	-6 dB	1	2	n/a	speech/alice/alice_156_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_116_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_344_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_309_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_037_peaky_diotic_regress.hdf5
